reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixreviewtime,reviewtime
R000000,B88523,User_0,"(8, 19)",excellent! highly recommended.,3,bad quality.,1740995281,"11 14, 2022"
R000001,B79005,User_1,"(5, 12)","good quality, but expensive.",3,bad quality.,1704275281,"09 01, 2023"
R000002,B59509,User_2,"(1, 4)",decent product but delivery was slow.,1,bad quality.,1666518481,"12 07, 2023"
R000003,B87873,User_3,"(0, 18)",excellent! highly recommended.,1,great purchase!,1697276881,"05 04, 2023"
R000004,B89424,User_4,"(0, 1)","terrible experience, won't buy again.",3,"not bad, but slow delivery.",1691660881,"03 09, 2025"
R000005,B17248,User_5,"(1, 4)","not what i expected, disappointed.",5,bad quality.,1698918481,"07 15, 2023"
R000006,B41870,User_6,"(9, 14)",fantastic! exceeded expectations.,2,loved it!,1735465681,"11 22, 2022"
R000007,B17677,User_7,"(5, 18)",excellent! highly recommended.,2,worst buy.,1706521681,"01 25, 2024"
R000008,B49962,User_8,"(4, 9)",amazing product! works as expected.,1,highly recommend!,1660556881,"01 17, 2025"
R000009,B13516,User_9,"(4, 6)",fantastic! exceeded expectations.,3,highly recommend!,1691401681,"10 28, 2024"
R000010,B77520,User_10,"(9, 14)",decent product but delivery was slow.,5,great purchase!,1731577681,"09 19, 2023"
R000011,B41026,User_11,"(9, 16)",excellent! highly recommended.,1,worst buy.,1700646481,"12 06, 2022"
R000012,B93863,User_12,"(8, 14)",excellent! highly recommended.,3,didn't meet expectations.,1707126481,"02 23, 2025"
R000013,B10665,User_13,"(5, 5)",fantastic! exceeded expectations.,3,bad quality.,1736070481,"09 30, 2022"
R000014,B63319,User_14,"(9, 14)","terrible experience, won't buy again.",5,didn't meet expectations.,1739785681,"02 04, 2024"
R000015,B96795,User_15,"(4, 19)",excellent! highly recommended.,4,just okay.,1664272081,"01 28, 2023"
R000016,B49021,User_16,"(0, 6)",fantastic! exceeded expectations.,4,"not bad, but slow delivery.",1736848081,"02 27, 2025"
R000017,B16449,User_17,"(3, 7)","not what i expected, disappointed.",4,great purchase!,1692265681,"11 24, 2022"
R000018,B11283,User_18,"(6, 12)",excellent! highly recommended.,2,worst buy.,1705139281,"08 18, 2022"
R000019,B62550,User_19,"(8, 6)","terrible experience, won't buy again.",2,just okay.,1706953681,"01 08, 2023"
R000020,B61021,User_20,"(5, 19)","average product, could be better.",5,worst buy.,1727603281,"02 17, 2024"
R000021,B61804,User_21,"(8, 3)",excellent! highly recommended.,1,highly recommend!,1718358481,"02 18, 2023"
R000022,B26740,User_22,"(5, 19)","not what i expected, disappointed.",2,bad quality.,1665913681,"06 23, 2024"
R000023,B66396,User_23,"(2, 14)","very useful, worth the price.",1,didn't meet expectations.,1668937681,"08 11, 2022"
R000024,B13069,User_24,"(4, 2)","very useful, worth the price.",4,"not bad, but slow delivery.",1707558481,"12 26, 2024"
R000025,B15097,User_25,"(6, 17)","average product, could be better.",1,totally worth it!,1728121681,"08 03, 2024"
R000026,B97631,User_26,"(4, 5)","very useful, worth the price.",1,just okay.,1698227281,"08 27, 2023"
R000027,B40635,User_27,"(8, 19)","good quality, but expensive.",3,"not bad, but slow delivery.",1669024081,"02 09, 2025"
R000028,B20849,User_28,"(4, 17)",not satisfied. quality is poor.,5,highly recommend!,1670752081,"06 07, 2023"
R000029,B92790,User_29,"(0, 14)",excellent! highly recommended.,3,great purchase!,1689673681,"10 14, 2024"
R000030,B76686,User_30,"(7, 4)","good quality, but expensive.",4,totally worth it!,1704188881,"03 12, 2025"
R000031,B99509,User_31,"(7, 17)","average product, could be better.",1,just okay.,1688377681,"07 11, 2024"
R000032,B29036,User_32,"(1, 13)",not satisfied. quality is poor.,5,overpriced but good.,1735724881,"10 12, 2024"
R000033,B10698,User_33,"(2, 4)","very useful, worth the price.",2,totally worth it!,1697017681,"08 02, 2023"
R000034,B41145,User_34,"(2, 2)",amazing product! works as expected.,3,overpriced but good.,1737107281,"03 18, 2025"
R000035,B55203,User_35,"(7, 16)","average product, could be better.",2,worst buy.,1676195281,"09 17, 2022"
R000036,B54054,User_36,"(8, 15)","terrible experience, won't buy again.",5,just okay.,1737193681,"08 13, 2024"
R000037,B89384,User_37,"(9, 15)","average product, could be better.",1,worst buy.,1657792081,"01 18, 2024"
R000038,B59149,User_38,"(6, 16)",amazing product! works as expected.,2,overpriced but good.,1740908881,"08 18, 2023"
R000039,B74844,User_39,"(7, 16)","not what i expected, disappointed.",5,great purchase!,1666777681,"07 25, 2022"
R000040,B87317,User_40,"(2, 9)","average product, could be better.",3,highly recommend!,1668505681,"04 08, 2023"
R000041,B57282,User_41,"(1, 15)",fantastic! exceeded expectations.,1,"not bad, but slow delivery.",1662976081,"12 03, 2024"
R000042,B38354,User_42,"(4, 14)",amazing product! works as expected.,5,overpriced but good.,1740563281,"08 12, 2023"
R000043,B17509,User_43,"(4, 2)",fantastic! exceeded expectations.,5,highly recommend!,1674985681,"12 18, 2023"
R000044,B38603,User_44,"(7, 1)","average product, could be better.",2,overpriced but good.,1706867281,"08 31, 2022"
R000045,B61488,User_45,"(7, 17)",not satisfied. quality is poor.,4,worst buy.,1659865681,"01 13, 2025"
R000046,B63537,User_46,"(9, 5)",fantastic! exceeded expectations.,4,loved it!,1737712081,"01 31, 2024"
R000047,B26985,User_47,"(0, 13)","average product, could be better.",5,worst buy.,1669283281,"07 24, 2023"
R000048,B87889,User_48,"(8, 15)",excellent! highly recommended.,1,bad quality.,1681465681,"01 05, 2024"
R000049,B50283,User_49,"(6, 14)",decent product but delivery was slow.,2,just okay.,1661075281,"06 10, 2023"
R000050,B48025,User_50,"(0, 12)",fantastic! exceeded expectations.,2,overpriced but good.,1697104081,"05 18, 2024"
R000051,B49502,User_51,"(3, 10)","not what i expected, disappointed.",3,bad quality.,1728985681,"03 13, 2023"
R000052,B12012,User_52,"(7, 7)","very useful, worth the price.",2,"not bad, but slow delivery.",1710928081,"11 13, 2022"
R000053,B97504,User_53,"(8, 14)","very useful, worth the price.",4,worst buy.,1720950481,"05 08, 2023"
R000054,B17784,User_54,"(1, 19)",excellent! highly recommended.,4,totally worth it!,1690624081,"12 26, 2022"
R000055,B12561,User_55,"(0, 2)","very useful, worth the price.",5,bad quality.,1697104081,"05 21, 2023"
R000056,B29833,User_56,"(0, 1)","average product, could be better.",2,didn't meet expectations.,1704534481,"03 30, 2024"
R000057,B29193,User_57,"(5, 12)",fantastic! exceeded expectations.,2,just okay.,1678787281,"12 28, 2023"
R000058,B10244,User_58,"(4, 11)",fantastic! exceeded expectations.,1,overpriced but good.,1690969681,"09 07, 2023"
R000059,B72186,User_59,"(5, 2)","very useful, worth the price.",1,"not bad, but slow delivery.",1685958481,"09 05, 2024"
R000060,B99746,User_60,"(4, 6)",excellent! highly recommended.,3,didn't meet expectations.,1702460881,"02 11, 2025"
R000061,B54016,User_61,"(4, 18)",not satisfied. quality is poor.,4,loved it!,1725097681,"04 22, 2024"
R000062,B44755,User_62,"(7, 6)",decent product but delivery was slow.,1,worst buy.,1695808081,"03 29, 2024"
R000063,B39443,User_63,"(2, 1)","very useful, worth the price.",2,totally worth it!,1675504081,"03 12, 2023"
R000064,B46141,User_64,"(1, 7)",excellent! highly recommended.,5,worst buy.,1677232081,"09 16, 2023"
R000065,B76994,User_65,"(5, 18)","very useful, worth the price.",2,totally worth it!,1711705681,"09 19, 2022"
R000066,B92311,User_66,"(9, 10)",not satisfied. quality is poor.,1,worst buy.,1661507281,"09 06, 2022"
